FrcRobotBase.FirstSteamWorks_Info: Sun Apr 02 14:33:34 PDT 2017: ***** Starting autonomous *****
FrcRobotBase.CmdVisionGearDeploy_Info: dist=7.0, deployTime=0.3, backupDist=36.0
FrcRobotBase.CmdSideGearLift_Info: delay=0.000, alliance=RED_ALLIANCE, rightSide=false, forwardDist=85.0, liftAngle=60.0, backupDist=8.0, lsAngle=30.0, lsDist=320.0, diagDist=360.0
FrcRobotBase.Vision_Info: Front pixy is enabled!
FrcRobotBase.Robot_Info: [0.186]   DO_DELAY: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=13.0(13.1)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.startCompetition_Warn: AUTO_MODE takes too long (0.211s)

FrcRobotBase.Robot_Info: [0.211] MOVE_FORWARD_ON_SIDE: xPos= -0.01,yPos=  0.00,heading=   0.1/   0.0,volts=13.0(13.0)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=13.0 (13.0)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=13.0 (13.0)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.1, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=13.0 (13.0)
FrcRobotBase.startCompetition_Warn: AUTO_MODE takes too long (0.053s)

FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/-0.000, Output= 0.000(-0.500/0.500), Volt=11.2 (13.0)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 2.975/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.2 (13.0)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.003/ 0.000/ 0.000/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.2 (13.0)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/-0.000, Output= 0.000(-0.500/0.500), Volt=12.0 (12.0)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 2.975/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.0 (12.0)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/ 0.001/ 0.000, Output=-0.002(-0.500/0.500), Volt=12.0 (12.0)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/-0.000, Output= 0.000(-0.500/0.500), Volt=11.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 2.975/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.003/ 0.000, Output= 0.002(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.048/ 0.000/ 0.000/-0.000, Output= 0.048(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.1, Error=  83.9, PIDTerms= 2.938/ 0.000/-0.244/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.003/ 0.000/ 0.010/ 0.000, Output= 0.013(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.054/ 0.000/ 0.000/-0.000, Output= 0.054(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.7, Error=  83.3, PIDTerms= 2.917/ 0.000/-0.135/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.003/ 0.000/-0.014/ 0.000, Output=-0.018(-0.500/0.500), Volt=11.6 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.051/ 0.000/-0.000/-0.000, Output= 0.051(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   2.4, Error=  82.6, PIDTerms= 2.890/ 0.000/-0.161/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.007/ 0.000/-0.007/ 0.000, Output=-0.013(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.058/ 0.000/ 0.000/-0.000, Output= 0.058(-0.500/0.500), Volt=11.5 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   3.2, Error=  81.8, PIDTerms= 2.862/ 0.000/-0.204/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.007/ 0.000/-0.002/ 0.000, Output=-0.009(-0.500/0.500), Volt=11.5 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.4, Error=   0.3, PIDTerms= 0.052/ 0.000/-0.000/-0.000, Output= 0.052(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   4.1, Error=  80.9, PIDTerms= 2.831/ 0.000/-0.193/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.014/ 0.000, Output= 0.013(-0.500/0.500), Volt=11.4 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.047/ 0.000/-0.000/-0.000, Output= 0.047(-0.500/0.500), Volt=11.5 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   5.5, Error=  79.5, PIDTerms= 2.783/ 0.000/-0.285/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.010/ 0.000/ 0.022/ 0.000, Output= 0.032(-0.500/0.500), Volt=11.5 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.066/ 0.000/ 0.000/-0.000, Output= 0.066(-0.500/0.500), Volt=11.6 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   6.9, Error=  78.1, PIDTerms= 2.733/ 0.000/-0.328/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.6 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.020/ 0.000/ 0.022/ 0.000, Output= 0.042(-0.500/0.500), Volt=11.6 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.033/ 0.000/-0.000/-0.000, Output= 0.033(-0.500/0.500), Volt=11.9 (11.2)
