GlobalTracer.FirstSteamWorks_Info: Fri Apr 07 18:13:27 PDT 2017: ***** Starting autonomous *****
GlobalTracer.CmdVisionGearDeploy_Info: dist=7.0, deployTime=0.3, backupDist=36.0
GlobalTracer.CmdSideGearLift_Info: delay=0.000, alliance=RED_ALLIANCE, rightSide=false, forwardDist=85.0, liftAngle=60.0, backupDist=12.0, lsAngle=30.0, lsDist=320.0, diagDist=360.0
GlobalTracer.Vision_Info: Front pixy is enabled!
GlobalTracer.Robot_Info: [0.276]   DO_DELAY: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.9(12.9)
GlobalTracer.PixyVision_Info: null object(s) found
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.297s)

GlobalTracer.Robot_Info: [0.295] MOVE_FORWARD_ON_SIDE: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.9(12.9)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 3.400/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 3.400/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (12.9)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.5 (12.9)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.5 (11.5)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 3.400/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (11.5)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.5 (11.5)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 3.400/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.010/ 0.000/-0.000/ 0.000, Output=-0.010(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.4, Error=  84.6, PIDTerms= 3.385/ 0.000/-0.091/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.PixyVision_Info: 1 object(s) found
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.015/ 0.000/-0.000/ 0.000, Output=-0.015(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.6, Error=  84.4, PIDTerms= 3.375/ 0.000/-0.052/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.3 (11.3)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.000/ 0.000, Output=-0.001(-0.500/0.500), Volt=11.2 (11.2)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.0, Error=  84.0, PIDTerms= 3.362/ 0.000/-0.087/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.2 (11.2)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.002/ 0.000, Output= 0.002(-0.500/0.500), Volt=11.2 (11.2)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.016/ 0.000/ 0.000/ 0.000, Output= 0.016(-0.500/0.500), Volt=11.2 (11.2)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.2, Error=  83.8, PIDTerms= 3.352/ 0.000/-0.053/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (11.2)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.001/ 0.000/ 0.002/ 0.000, Output= 0.002(-0.500/0.500), Volt=11.3 (11.2)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.010/ 0.000/-0.000/ 0.000, Output= 0.010(-0.500/0.500), Volt=11.3 (11.2)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.3, Error=  83.7, PIDTerms= 3.350/ 0.000/-0.011/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (11.2)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/-0.002/ 0.000, Output=-0.001(-0.500/0.500), Volt=11.3 (11.2)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.005/ 0.000/-0.000/ 0.000, Output= 0.005(-0.500/0.500), Volt=11.4 (11.2)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.6, Error=  83.4, PIDTerms= 3.336/ 0.000/-0.071/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.2)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.004/ 0.000/ 0.019/ 0.000, Output= 0.023(-0.500/0.500), Volt=11.4 (11.2)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.005/ 0.000/-0.000/ 0.000, Output= 0.005(-0.500/0.500), Volt=11.4 (11.2)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   2.1, Error=  82.9, PIDTerms= 3.317/ 0.000/-0.072/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.2)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.006/ 0.000/ 0.007/ 0.000, Output= 0.012(-0.500/0.500), Volt=11.5 (11.2)
GlobalTracer.PixyVision_Info: 1 object(s) found
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.017/ 0.000/ 0.000/ 0.000, Output= 0.017(-0.500/0.500), Volt=11.5 (11.2)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   3.0, Error=  82.0, PIDTerms= 3.282/ 0.000/-0.114/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (11.2)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.010/ 0.000/ 0.014/ 0.000, Output= 0.023(-0.500/0.500), Volt=11.5 (11.2)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/-0.000/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.6 (11.2)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   3.7, Error=  81.3, PIDTerms= 3.253/ 0.000/-0.116/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.6 (11.2)
