GlobalTracer.FirstSteamWorks_Info: Sat Apr 08 15:14:52 PDT 2017: ***** Starting autonomous *****
GlobalTracer.CmdVisionGearDeploy_Info: dist=7.0, deployTime=0.3, backupDist=36.0
GlobalTracer.CmdSideGearLift_Info: delay=0.000, alliance=RED_ALLIANCE, rightSide=true, forwardDist=85.0, liftAngle=60.0, backupDist=12.0, lsAngle=30.0, lsDist=320.0, diagDist=360.0
GlobalTracer.Vision_Info: Front pixy is enabled!
GlobalTracer.Robot_Info: [0.251]   DO_DELAY: xPos=  0.00,yPos=  0.00,heading=  -0.0/   0.0,volts=12.9(12.9)
GlobalTracer.PixyVision_Info: null object(s) found
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.276s)

GlobalTracer.Robot_Info: [0.274] MOVE_FORWARD_ON_SIDE: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.9(12.9)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.9 (12.9)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.3 (12.9)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 3.400/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.3 (12.9)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.3 (12.9)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.3 (12.3)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 3.400/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.3 (12.3)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.3 (12.3)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.9 (11.9)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 3.400/ 0.000/ 0.000/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.9 (11.9)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.9 (11.9)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/-0.000/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.0, Error=  85.0, PIDTerms= 3.398/ 0.000/-0.009/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.000/ 0.000/-0.002/ 0.000, Output=-0.002(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.PixyVision_Info: null object(s) found
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.020/ 0.000/ 0.000/ 0.000, Output= 0.020(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.5, Error=  84.5, PIDTerms= 3.378/ 0.000/-0.087/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.002/ 0.000/-0.006/ 0.000, Output=-0.008(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.020/ 0.000/ 0.000/ 0.000, Output= 0.020(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.8, Error=  84.2, PIDTerms= 3.367/ 0.000/-0.057/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.002/ 0.000/ 0.000/ 0.000, Output=-0.002(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.010/ 0.000/-0.000/ 0.000, Output= 0.010(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.1, Error=  83.9, PIDTerms= 3.355/ 0.000/-0.063/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.009/ 0.000, Output= 0.009(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.003/ 0.000/-0.000/ 0.000, Output= 0.003(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.4, Error=  83.6, PIDTerms= 3.343/ 0.000/-0.062/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.002/ 0.000/ 0.011/ 0.000, Output= 0.013(-0.500/0.500), Volt=11.4 (11.4)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.004/ 0.000/ 0.000/ 0.000, Output= 0.004(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.9, Error=  83.1, PIDTerms= 3.326/ 0.000/-0.085/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.005/ 0.000/ 0.017/ 0.000, Output= 0.022(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.PixyVision_Info: null object(s) found
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.002/ 0.000/-0.000/ 0.000, Output= 0.002(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   2.3, Error=  82.7, PIDTerms= 3.306/ 0.000/-0.089/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.007/ 0.000/ 0.008/ 0.000, Output= 0.015(-0.500/0.500), Volt=11.5 (11.4)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.003/ 0.000/ 0.000/ 0.000, Output= 0.003(-0.500/0.500), Volt=11.7 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   2.9, Error=  82.1, PIDTerms= 3.285/ 0.000/-0.104/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.7 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.008/ 0.000/ 0.003/ 0.000, Output= 0.011(-0.500/0.500), Volt=11.7 (11.4)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/-0.000/ 0.000, Output=-0.001(-0.500/0.500), Volt=11.7 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   3.5, Error=  81.5, PIDTerms= 3.262/ 0.000/-0.118/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.7 (11.4)
GlobalTracer.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.009/ 0.000/ 0.006/ 0.000, Output= 0.015(-0.500/0.500), Volt=11.7 (11.4)
GlobalTracer.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.005/ 0.000/-0.000/ 0.000, Output=-0.005(-0.500/0.500), Volt=11.6 (11.4)
GlobalTracer.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   4.1, Error=  80.9, PIDTerms= 3.235/ 0.000/-0.124/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.6 (11.4)
